step,body,x,y,z
12,4,9.592977273745015e-01,2.254280337341359e-01,-2.414749754935976e-04
12,5,1.368088403746355e+00,1.974871490028926e-01,6.376831697258925e-03
12,6,4.949050423626440e+00,1.104895697194295e-01,2.342375820567384e-03
12,7,9.074382946971390e+00,7.613158082774533e-02,2.393426621438673e-10
12,8,1.826686934167042e+01,5.353288304332181e-02,4.813034407968194e-12
12,9,2.988709519548281e+01,4.106944977727008e-02,5.017700019881462e-13
13,0,1.507591487348404e-06,-1.151257906699948e-04,-2.457838255639850e-06
13,1,6.395079766781074e-02,3.498208344197367e-01,4.295678432283862e-02
13,2,6.630208811018108e-01,2.772921120127708e-01,1.642492259989834e-02
13,3,9.534005212089247e-01,2.424514839623079e-01,1.010203734388552e-04
13,4,9.551743108813495e-01,2.424728361408796e-01,3.990113086027982e-04
13,5,1.366003360962202e+00,2.125709664559645e-01,6.863886208015844e-03
13,6,4.948887470512857e+00,1.189874596453905e-01,2.522530842413258e-03
13,7,9.074334213275867e+00,8.198771064144530e-02,2.991660707343045e-10
13,8,1.826685733562800e+01,5.765078454794282e-02,6.016092316004080e-12
13,9,2.988709071291887e+01,4.422863601801373e-02,6.271919970691308e-13
14,0,1.728904839346498e-06,-1.233409798678763e-04,-2.632887097600479e-06
14,1,3.601206807934134e-02,3.595366704993944e-01,4.415036404070029e-02
14,2,6.549439434070855e-01,2.959428799725577e-01,1.752968397949569e-02
14,3,9.490168327459975e-01,2.593769082889088e-01,1.010976565325088e-04
14,4,9.504847004187124e-01,2.594393738888956e-01,9.938667674526636e-04
14,5,1.363765346067548e+00,2.276309635045880e-01,7.350171611714358e-03
14,6,4.948712450051964e+00,1.274850589911129e-01,2.702679701868885e-03
14,7,9.074281869793538e+00,8.784380809209921e-02,3.681882405231088e-10
14,8,1.826684444025264e+01,6.176868325797919e-02,7.404158572876780e-12
14,9,2.988708589831343e+01,4.738782176905465e-02,7.719018463317523e-13
15,0,1.965083349224300e-06,-1.315546654392299e-04,-2.807850172016355e-06
15,1,7.852662068135220e-03,3.670483015449235e-01,4.507334847325210e-02
15,2,6.463455246546037e-01,3.143578987760762e-01,1.862048433161905e-02
15,3,9.443414218586480e-01,2.762218316566173e-01,1.030640228857627e-04
15,4,9.452442785178545e-01,2.763146816626434e-01,1.432249922657773e-03
15,5,1.361374673750590e+00,2.426654632063865e-01,7.835633765006724e-03
15,6,4.948525362940841e+00,1.359823470114765e-01,2.882821958988039e-03
15,7,9.074225916549384e+00,9.369987086813100e-02,4.470648145504190e-10
15,8,1.826683065554508e+01,6.588657897381804e-02,8.990426237937723e-12
15,9,2.988708075166656e+01,5.054700699541402e-02,9.372750820246635e-13
16,0,2.216075393836772e-06,-1.397667846450784e-04,-2.982726129282558e-06
16,1,-2.035258665354153e-02,3.724151304071971e-01,4.573303010466721e-02
16,2,6.372326184509718e-01,3.325225701990628e-01,1.969645917509993e-02
16,3,9.393750317409778e-01,2.929811499310412e-01,1.084831281826622e-04
16,4,9.395185651182588e-01,2.930845526384602e-01,1.586844587261258e-03
16,5,1.358831679891022e+00,2.576727936531116e-01,8.320218687334568e-03
16,6,4.948326209924592e+00,1.444793029635568e-01,3.062957173871007e-03
16,7,9.074166353570103e+00,9.955589665797916e-02,5.364511503222097e-10
16,8,1.826681598150613e+01,7.000447149584654e-02,1.078808419611336e-11
16,9,2.988707527297831e+01,5.370619166211302e-02,1.124686832719771e-12
17,0,2.481830579712228e-06,-1.479772769891422e-04,-3.157513850256546e-06
17,1,-4.844441807836956e-02,3.757063539150176e-01,4.613790375865464e-02
17,2,6.276126325349185e-01,3.504225081390159e-01,2.075675659329965e-02
17,3,9.341174007868570e-01,3.096497804971928e-01,1.187646339514261e-04
17,4,9.334625907534765e-01,3.097355640634272e-01,1.342854609752592e-03
17,5,1.356136721459158e+00,2.726512882936302e-01,8.803872571363759e-03
17,6,4.948114991796341e+00,1.529759061067713e-01,3.243084906667700e-03
17,7,9.074103180884114e+00,1.054118831500978e-01,6.370023020514016e-10
17,8,1.826680041813665e+01,7.412236062445196e-02,1.281031694549720e-11
17,9,2.988706946224876e+01,5.686537573417283e-02,1.335511805257454e-12
18,0,2.762299664772789e-06,-1.561860838492948e-04,-3.332212398486361e-06
18,1,-7.627856160655597e-02,3.769985321975953e-01,4.629736820073702e-02
18,2,6.174933820090173e-01,3.680435505387568e-01,2.180053794000093e-02
18,3,9.285671178911520e-01,3.262225806872235e-01,1.339822657520721e-04
18,4,9.273326037074762e-01,3.262618591576253e-01,6.940982201419398e-04
18,5,1.353290176408956e+00,2.875992862544926e-01,9.286541793340191e-03
18,6,4.947891709397219e+00,1.614721357030254e-01,3.423204717580763e-03
18,7,9.074036398521560e+00,1.112678280329574e-01,7.493730029483963e-10
18,8,1.826678396543755e+01,7.824024616002161e-02,1.507030438653874e-11
18,9,2.988706331947797e+01,6.002455917661460e-02,1.571124266896868e-12
19,0,3.057434444707562e-06,-1.643931481712949e-04,-3.506820980134001e-06
19,1,-1.037249331504503e-01,3.763735367570998e-01,4.622147423710662e-02
19,2,6.068830822152198e-01,3.853717710766664e-01,2.282697853147060e-02
19,3,9.227232500822965e-01,3.426942592179928e-01,1.516125653232825e-04
19,4,9.213536823392250e-01,3.426724966366230e-01,-1.544496572782491e-04
19,5,1.350292443565024e+00,3.025151326579417e-01,9.768172923361369e-03
19,6,4.947656363616349e+00,1.699679710168595e-01,3.603316166868689e-03
19,7,9.073966006514308e+00,1.171237289950462e-01,8.742176475496619e-10
19,8,1.826676662340981e+01,8.235812790294289e-02,1.758122161203844e-11
19,9,2.988705684466603e+01,6.318374195445950e-02,1.832898027558813e-12
20,0,3.367187618163741e-06,-1.725984142200284e-04,-3.681338910959173e-06
20,1,-1.306666990352842e-01,3.739168487518547e-01,4.592071580646364e-02
20,2,5.957903412632829e-01,4.023934906124590e-01,2.383526832404432e-02
20,3,9.165876991543875e-01,3.590594777357564e-01,1.679850526738586e-04
20,4,9.155280765978614e-01,3.589833434210756e-01,-9.045576049825948e-04
20,5,1.347143942503677e+00,3.173971789372220e-01,1.024871273555789e-02
20,6,4.947408955390843e+00,1.784633913155944e-01,3.783418814848919e-03
20,7,9.073892004895942e+00,1.229795837248709e-01,1.012190274069012e-09
20,8,1.826674839205442e+01,8.647600565360329e-02,2.035623869699186e-11
20,9,2.988705003781301e+01,6.634292403272864e-02,2.122206422028457e-12
21,0,3.691512641726619e-06,-1.808018273821750e-04,-3.855765589624440e-06
21,1,-1.569992724481684e-01,3.697161713307599e-01,4.540585962578793e-02
21,2,5.842241522215517e-01,4.190952883777456e-01,2.482461257659921e-02
21,3,9.101645097022756e-01,3.753130365505356e-01,1.808966518319533e-04
21,4,9.096914004412511e-01,3.752021203344894e-01,-1.377295299879804e-03
21,5,1.343845113428128e+00,3.322437831490544e-01,1.072810821818052e-02
21,6,4.947149485705787e+00,1.869583758694779e-01,3.963512221900959e-03
21,7,9.073814393701770e+00,1.288353899109577e-01,1.163944546770703e-09
21,8,1.826672927137247e+01,9.059387921239041e-02,2.340852048806127e-11
21,9,2.988704289891900e+01,6.950210537644316e-02,2.440422292080884e-12
22,0,4.030363582781457e-06,-1.890033340137879e-04,-4.030100476588797e-06
22,1,-1.826292912931247e-01,3.638603170158353e-01,4.468780860189614e-02
22,2,5.721938849799146e-01,4.354640129010627e-01,2.579423249730042e-02
22,3,9.034579452308704e-01,3.914498935243911e-01,1.898340423918366e-04
22,4,9.036689770987238e-01,3.913270099972916e-01,-1.531111564113840e-03
22,5,1.340396417037883e+00,3.470533102831418e-01,1.120630658359060e-02
22,6,4.946877955594226e+00,1.954529039518311e-01,4.143595948469478e-03
22,7,9.073733172968820e+00,1.346911452418532e-01,1.330133738379620e-09
22,8,1.826670926136507e+01,9.471174837969194e-02,2.675122639327777e-11
22,9,2.988703542798407e+01,7.266128595062420e-02,2.788917968600208e-12
23,0,4.383694975973071e-06,-1.972028813263786e-04,-4.204343077815864e-06
23,1,-2.074736123878891e-01,3.564383314802437e-01,4.377749426366097e-02
23,2,5.597092777950776e-01,4.514867926574663e-01,2.674336587403938e-02
23,3,8.964718101810952e-01,4.074651074511593e-01,1.951293644799987e-04
23,4,8.973308867435565e-01,4.073514019491556e-01,-1.393191570251687e-03
23,5,1.336798334392446e+00,3.618241325685749e-01,1.168325527814986e-02
23,6,4.946594366137153e+00,2.039469548391942e-01,4.323669555067421e-03
23,7,9.073648342735844e+00,1.405468474061257e-01,1.511410712534323e-09
23,8,1.826668836203338e+01,9.882961295589565e-02,3.039751017214864e-11
23,9,2.988702762500834e+01,7.582046572029283e-02,3.169065253709653e-12
24,0,4.751461687172723e-06,-2.054004173054688e-04,-4.378492932530230e-06
24,1,-2.314583458566324e-01,3.475388173927457e-01,4.268579375502176e-02
24,2,5.467804285286245e-01,4.671510464332280e-01,2.767126768800898e-02
24,3,8.892095162399711e-01,4.233538032197028e-01,1.974319643777894e-04
24,4,8.905865006654452e-01,4.232668654492440e-01,-1.016508261997528e-03
24,5,1.333051366769398e+00,3.765546297770074e-01,1.215890199200513e-02
24,6,4.946298718463496e+00,2.124405078114728e-01,4.503732602279108e-03
24,7,9.073559903043309e+00,1.464024940923658e-01,1.708427906280796e-09
24,8,1.826666657337865e+01,1.029474727413894e-01,3.436051972598455e-11
24,9,2.988701948999189e+01,7.897964465047015e-02,3.582235402885057e-12
25,0,5.133618787470908e-06,-2.135958906561158e-04,-4.552549604330716e-06
25,1,-2.545179450134222e-01,3.372494254053671e-01,4.142346734702672e-02
25,2,5.334177855886298e-01,4.824444933966235e-01,2.857721070988498e-02
25,3,8.816742580199467e-01,4.391111618042835e-01,1.975343549814224e-04
25,4,8.833701212461270e-01,4.390641023753001e-01,-4.656721178395945e-04
25,5,1.329156035516964e+00,3.912431895224777e-01,1.263319466876327e-02
25,6,4.945991013750107e+00,2.209335421520837e-01,4.683784650763338e-03
25,7,9.073467853933408e+00,1.522580829891879e-01,1.921837312606553e-09
25,8,1.826664389540213e+01,1.070653275365613e-01,3.865339688837413e-11
25,9,2.988701102293482e+01,8.213882270617726e-02,4.029799107040128e-12
26,0,5.530121438652065e-06,-2.217892507705580e-04,-4.726512675060232e-06
26,1,-2.765943606027735e-01,3.256564832322469e-01,4.000111290238597e-02
26,2,5.196321385858568e-01,4.973551628662548e-01,2.946048607810821e-02
26,3,8.738691210405178e-01,4.547324227798831e-01,1.963750744445455e-04
26,4,8.756321232245736e-01,4.547328801154830e-01,1.828366430981892e-04
26,5,1.325112881901153e+00,4.058882075577517e-01,1.310608151505246e-02
26,6,4.945671253221740e+00,2.294260371481013e-01,4.863825261256497e-03
26,7,9.073372195450053e+00,1.581136117852305e-01,2.152290463017658e-09
26,8,1.826662032810517e+01,1.111831771417994e-01,4.328927721589581e-11
26,9,2.988700222383724e+01,8.529799985243521e-02,4.513126474593814e-12
27,0,5.940924790824773e-06,-2.299804477137795e-04,-4.900381740918783e-06
27,1,-2.976362635699826e-01,3.128447377001385e-01,3.842913420878231e-02
27,2,5.054346087158209e-01,5.118714037688215e-01,3.032040385878875e-02
27,3,8.657970860461466e-01,4.702128930126211e-01,1.951270492012587e-04
27,4,8.673385201067149e-01,4.702614603997758e-01,8.334838468341450e-04
27,5,1.320922466947556e+00,4.204880880670701e-01,1.357751100996595e-02
27,6,4.945339438151040e+00,2.379179720904030e-01,5.043853994575652e-03
27,7,9.073272927638879e+00,1.639690781691580e-01,2.400438410162693e-09
27,8,1.826659587148913e+01,1.153010213574919e-01,4.828128977924736e-11
27,9,2.988699309269925e+01,8.845717605426506e-02,5.033587013543025e-12
28,0,6.365983892325985e-06,-2.381694322234138e-04,-5.074156410386706e-06
28,1,-3.175983372119794e-01,2.988971883978117e-01,3.671772055715233e-02
28,2,4.908366388782238e-01,5.259818937787267e-01,3.115629358678097e-02
28,3,8.574608783314928e-01,4.855479577401334e-01,1.953184571042408e-04
28,4,8.584831286886974e-01,4.856358315043108e-01,1.361854563708012e-03
28,5,1.316585371277926e+00,4.350412439551801e-01,1.404743191438501e-02
28,6,4.944995569858531e+00,2.464093262738155e-01,5.223870411621656e-03
28,7,9.073170050547239e+00,1.698244798296611e-01,2.666931710508462e-09
28,8,1.826657052555545e+01,1.194188599840273e-01,5.364255695502780e-11
28,9,2.988698362952098e+01,9.161635127668785e-02,5.592549613571838e-12
29,0,6.805253611638432e-06,-2.463561557209820e-04,-5.247836303599979e-06
29,1,-3.364406372956339e-01,2.838949949762155e-01,3.487683536156708e-02
29,2,4.758499835454602e-01,5.396756481323848e-01,3.196750478750632e-02
29,3,8.488625583623626e-01,5.007330837926864e-01,1.988495578191196e-04
29,4,8.491207635248815e-01,5.008395768253587e-01,1.613284266982753e-03
29,5,1.312102194941617e+00,4.495460971325435e-01,1.451579328017754e-02
29,6,4.944639649712591e+00,2.549000789972602e-01,5.403874073382245e-03
29,7,9.073063564224205e+00,1.756798144554580e-01,2.952420407073148e-09
29,8,1.826654429030562e+01,1.235366928217941e-01,5.938619421846326e-11
29,9,2.988697383430253e+01,9.477552548472459e-02,6.191382528236629e-12
30,0,7.258688570810053e-06,-2.545405703319690e-04,-5.421421052888377e-06
30,1,-3.541280172652713e-01,2.679174431919218e-01,3.291621199062246e-02
30,2,4.604866983920810e-01,5.529420281105796e-01,3.275340747912912e-02
30,3,8.400028758739715e-01,5.157637824699471e-01,2.074777383853768e-04
30,4,8.394196580603673e-01,5.158570208065500e-01,1.444725210114400e-03
30,5,1.307473557242007e+00,4.640010787966063e-01,1.498254445926945e-02
30,6,4.944271679129443e+00,2.633902095638994e-01,5.583864540935134e-03
30,7,9.072953468720572e+00,1.815350797352955e-01,3.257554012223832e-09
30,8,1.826651716574117e+01,1.276545196711809e-01,6.552530993744138e-11
30,9,2.988696370704403e+01,9.793469864339631e-02,6.831453357276769e-12
31,0,7.726243089703652e-06,-2.627226289127032e-04,-5.594910304241576e-06
31,1,-3.706296147862629e-01,2.510419574291914e-01,3.084535530469117e-02
31,2,4.447591296972484e-01,5.657707491827141e-01,3.351339265471992e-02
31,3,8.308812854784927e-01,5.306354948551120e-01,2.212894202510449e-04
31,4,8.296601017023353e-01,5.306826785823920e-01,8.489831783840343e-04
31,5,1.302700096558000e+00,4.784046297090282e-01,1.544763511258578e-02
31,6,4.943891659573135e+00,2.718796972812818e-01,5.763841375451115e-03
31,7,9.072839764088853e+00,1.873902733579498e-01,3.582981490544848e-09
31,8,1.826648915186369e+01,1.317723403325765e-01,7.207300516820507e-11
31,9,2.988695324774560e+01,1.010938707177240e-01,7.514129029099576e-12
32,0,8.207871140319223e-06,-2.709022850824052e-04,-5.768303719484671e-06
32,1,-3.859183954239138e-01,2.333441496960837e-01,2.867354767084213e-02
